842603107		395.96		26		4
196254326		1296.95		83		91
452193577		1526.88		84		36
717054755		1372.76		33		62
25708865		410.89		80		92
135780328		1979.16		14		68
39276193		176.62		109		37
82064374		1326.83		91		70
130271994		1485.27		42		16
763547870		241.58		110		26
712634117		1701.74		127		93
729796966		1553.12		64		13
225597870		175.32		90		85
178952984		152.08		48		62
971589757		749.49		38		11
842458281		1571		123		86
259280215		255.46		8		7
861722688		1042.45		66		99
39750810		136.48		123		61
490906237		579.09		121		105
547568016		1188.9		101		6
637682949		233.73		90		60
179476369		784.75		98		112
628991707		308.14		24		14
200906932		640.69		4		116
297629503		466.04		120		97
183968334		556.71		119		13
164280873		1625.67		1		116
876081067		105.17		85		47
26269207		300.76		7		100
165618223		37.94		19		114
285234329		1377.13		92		16
35500914		724.42		50		120
160898119		912.3		7		35
299049231		172.12		104		31
660465127		808.33		39		112
507298525		864.88		131		14
531729578		926.9		127		44
942230656		277.89		50		49
305508678		1088.4		114		26
87946683		702.23		49		95
985341895		1109.57		63		88
656317637		1098.56		70		40
707322912		1438.58		23		94
697198808		1020.42		77		66
134764066		309.37		131		43
815989711		506.82		116		95
185165382		1659.28		78		35
69812557		738.55		25		55
