842603107		r
196254326		w
452193577		r
717054755		w
25708865		r
135780328		w
39276193		r
82064374		r
130271994		w
763547870		r
712634117		r
729796966		b
225597870		b
178952984		b
971589757		b
842458281		r
259280215		w
861722688		b
39750810		r
490906237		w
547568016		b
637682949		w
179476369		r
628991707		w
200906932		r
297629503		w
183968334		r
164280873		b
876081067		b
26269207		w
165618223		b
285234329		w
35500914		r
160898119		b
299049231		r
660465127		w
507298525		w
531729578		w
942230656		r
305508678		b
87946683		w
985341895		r
656317637		w
707322912		w
697198808		w
134764066		w
815989711		b
185165382		w
69812557		w
